id_cliente,nombre,apellido,edad,email
1,Ana,Perez,30,ana.perez@gmail.com
2,Luis,Gomez,25,luis.gomez@gmail.com
3,Maria,Lopez,22,maria.lopez@gmail.com
4,Carlos,Martinez,35,carlos.martinez@gmail.com
5,Laura,Fernandez,28,laura.fernandez@gmail.com
6,Juan,Garcia,40,juan.garcia@gmail.com
7,Andrea,Rodriguez,32,andrea.rodriguez@gmail.com
8,Pedro,Hernandez,27,pedro.hernandez@gmail.com
9,Sofia,Ramirez,30,sofia.ramirez@gmail.com
10,Diego,Moreno,24,diego.moreno@gmail.com
11,Camila,Vargas,29,camila.vargas@gmail.com
12,David,Torres,33,david.torres@gmail.com
13,Valeria,Mendez,31,valeria.mendez@gmail.com
14,Rafael,Rivera,26,rafael.rivera@gmail.com
15,Elena,Castro,34,elena.castro@gmail.com
16,Javier,Santos,28,javier.santos@gmail.com
17,Isabella,Flores,23,isabella.flores@gmail.com
18,Samuel,Gonzalez,36,samuel.gonzalez@gmail.com
19,Renata,Duran,27,renata.duran@gmail.com
20,Mariana,Baez,29,mariana.baez@gmail.com
